Data_e_ora,Capitale,Moneta,Prezzo_di_acquisto,Exchange_acq,Prezzo_di_vendita,Exchange_ven,Commissioni_acquisto,Commissioni_vendita,Guadagno_netto
2025-01-30 17:02:03.943987, 3000, BTC-USDT, 105505.0, KuCoin, 105680.0, Bitfinex, 0.1%, 0.1%, -1.03 USDT
2025-01-30 17:02:04.823797, 3000, ETHUSDT, 3252.4, Binance, 3255.5, Bitfinex, 0.1%, 0.1%, -3.14 USDT
2025-01-30 17:02:06.175190, 3000, PEPEUSDT, 1.311e-05, Binance, 1.312e-05, KuCoin, 0.1%, 0.1%, -3.71 USDT
2025-01-30 17:02:06.913807, 3000, DOGEUSDT, 0.33607, Binance, 0.33609, KuCoin, 0.1%, 0.1%, -5.82 USDT
2025-01-30 17:02:07.855405, 3000, XRPUSDT, 3.1261, Binance, 3.1309, Bitfinex, 0.1%, 0.1%, -1.40 USDT
2025-01-30 17:02:08.653000, 3000, ADAUSDT, 0.9764, Binance, 0.97886, Bitfinex, 0.1%, 0.1%, 1.55 USDT
2025-01-30 17:02:09.998308, 3000, LTC-USDT, 130.8, KuCoin, 131.38, Bitfinex, 0.1%, 0.1%, 7.28 USDT
2025-01-30 17:02:15.930523, 3000, SOLUSDT, 240.88, Binance, 241.26, Bitfinex, 0.1%, 0.1%, -1.27 USDT
2025-01-30 17:02:16.903371, 3000, BTC-USDT, 105490.3, KuCoin, 105640.0, Bitfinex, 0.1%, 0.1%, -1.75 USDT
2025-01-30 17:02:18.026193, 3000, ETH-USDT, 3252.96, KuCoin, 3255.5, Bitfinex, 0.1%, 0.1%, -3.66 USDT
2025-01-30 17:02:19.479324, 3000, PEPEUSDT, 1.311e-05, Binance, 1.311e-05, Binance, 0.1%, 0.1%, -6.00 USDT
2025-01-30 17:02:20.260351, 3000, DOGEUSDT, 0.336, Binance, 0.33615, KuCoin, 0.1%, 0.1%, -4.66 USDT
2025-01-30 17:02:21.202547, 3000, XRPUSDT, 3.1272, Binance, 3.13, Bitfinex, 0.1%, 0.1%, -3.32 USDT
2025-01-30 17:02:22.466609, 3000, ADA-USDT, 0.977, KuCoin, 0.97745, Bitfinex, 0.1%, 0.1%, -4.62 USDT
2025-01-30 17:02:23.805499, 3000, LTCUSDT, 131.0, Binance, 131.38, Bitfinex, 0.1%, 0.1%, 2.69 USDT
2025-01-30 17:02:29.778263, 3000, SOLUSDT, 240.89, Binance, 241.21, Bitfinex, 0.1%, 0.1%, -2.02 USDT
2025-01-30 17:02:30.822614, 3000, BTCUSDT, 105505.45, Binance, 105610.0, Bitfinex, 0.1%, 0.1%, -3.03 USDT
2025-01-30 17:02:31.883848, 3000, ETH-USDT, 3252.84, KuCoin, 3255.5, Bitfinex, 0.1%, 0.1%, -3.55 USDT
2025-01-30 17:02:32.555064, 3000, PEPEUSDT, 1.311e-05, Binance, 1.311e-05, Binance, 0.1%, 0.1%, -6.00 USDT
2025-01-30 17:02:33.275216, 3000, DOGEUSDT, 0.33591, Binance, 0.33594, KuCoin, 0.1%, 0.1%, -5.73 USDT
2025-01-30 17:02:34.301679, 3000, XRPUSDT, 3.1275, Binance, 3.13, Bitfinex, 0.1%, 0.1%, -3.60 USDT
2025-01-30 17:02:35.287005, 3000, ADAUSD, 0.97745, Bitfinex, 0.9777, Binance, 0.2%, 0.1%, -8.23 USDT
2025-01-30 17:02:36.182098, 3000, LTC-USDT, 131.081, KuCoin, 131.38, Bitfinex, 0.1%, 0.1%, 0.83 USDT
2025-01-30 17:04:02.763278, 3000, SOL, 241.37, Binance, 241.71, Bitfinex, 0.1%, 0.1%, -1.78 USDT
2025-01-30 17:04:03.638199, 3000, BTC, 105692.25, Binance, 105790.0, Bitfinex, 0.1%, 0.1%, -3.23 USDT
2025-01-30 17:04:04.038322, 3000, ETH, 3257.25, Binance, 3260.9, Bitfinex, 0.1%, 0.1%, -2.64 USDT
2025-01-30 17:04:04.489006, 3000, PEPE, 1.312e-05, Binance, 1.312e-05, Binance, 0.1%, 0.1%, -6.00 USDT
2025-01-30 17:04:04.968131, 3000, DOGE, 0.33638, Binance, 0.33644, KuCoin, 0.1%, 0.1%, -5.46 USDT
